Indicator,Model,Scenario,Region,Variable,Unit,2025,2030,2035,2040,2045,2050,2055,2060,2065,2070,2075,2080,2085,2090,2095,2100
Inflation rate ; %(combined)Net Zero 2050NiGEM NGFS v1.24.2|Brazil,NiGEM NGFS v1.24.2[REMIND-MAgPIE 3.3-4.8],Net Zero 2050,Brazil,Inflation rate ; %(combined),Abs. difference,0.86,0.50,0.22,0.07,-0.04,0.11,,,,,,,,,,
Inflation rate ; %(physical)Below 2°CNiGEM NGFS v1.24.2|Brazil,NiGEM NGFS v1.24.2[REMIND-MAgPIE 3.3-4.8],Below 2°C,Brazil,Inflation rate ; %(physical),Abs. difference,0.11,0.11,0.14,0.12,0.03,0.05,,,,,,,,,,
Inflation rate ; %(physical)Current PoliciesNiGEM NGFS v1.24.2|Brazil,NiGEM NGFS v1.24.2[REMIND-MAgPIE 3.3-4.8],Current Policies,Brazil,Inflation rate ; %(physical),Abs. difference,0.11,0.11,0.16,0.19,0.14,0.22,,,,,,,,,,
Inflation rate ; %(physical)Delayed transitionNiGEM NGFS v1.24.2|Brazil,NiGEM NGFS v1.24.2[REMIND-MAgPIE 3.3-4.8],Delayed transition,Brazil,Inflation rate ; %(physical),Abs. difference,0.11,0.12,0.16,0.15,0.03,0.02,,,,,,,,,,
Inflation rate ; %(physical)Fragmented WorldNiGEM NGFS v1.24.2|Brazil,NiGEM NGFS v1.24.2[REMIND-MAgPIE 3.3-4.8],Fragmented World,Brazil,Inflation rate ; %(physical),Abs. difference,0.11,0.11,0.16,0.16,0.09,0.15,,,,,,,,,,
Inflation rate ; %(physical)Nationally Determined Contributions (NDCs)NiGEM NGFS v1.24.2|Brazil,NiGEM NGFS v1.24.2[REMIND-MAgPIE 3.3-4.8],Nationally Determined Contributions (NDCs),Brazil,Inflation rate ; %(physical),Abs. difference,0.11,0.11,0.14,0.14,0.07,0.13,,,,,,,,,,
Inflation rate ; %(physical)Net Zero 2050NiGEM NGFS v1.24.2|Brazil,NiGEM NGFS v1.24.2[REMIND-MAgPIE 3.3-4.8],Net Zero 2050,Brazil,Inflation rate ; %(physical),Abs. difference,0.11,0.11,0.11,0.05,-0.05,0.01,,,,,,,,,,
Inflation rate ; %(transition)Below 2°CNiGEM NGFS v1.24.2|Brazil,NiGEM NGFS v1.24.2[REMIND-MAgPIE 3.3-4.8],Below 2°C,Brazil,Inflation rate ; %(transition),Abs. difference,0.01,0.09,0.12,0.11,0.09,0.08,,,,,,,,,,
Inflation rate ; %(transition)Delayed transitionNiGEM NGFS v1.24.2|Brazil,NiGEM NGFS v1.24.2[REMIND-MAgPIE 3.3-4.8],Delayed transition,Brazil,Inflation rate ; %(transition),Abs. difference,0.00,0.00,0.57,0.16,0.09,0.04,,,,,,,,,,
Inflation rate ; %(transition)Fragmented WorldNiGEM NGFS v1.24.2|Brazil,NiGEM NGFS v1.24.2[REMIND-MAgPIE 3.3-4.8],Fragmented World,Brazil,Inflation rate ; %(transition),Abs. difference,0.00,0.00,0.09,0.11,0.08,0.07,,,,,,,,,,
Inflation rate ; %(transition)Nationally Determined Contributions (NDCs)NiGEM NGFS v1.24.2|Brazil,NiGEM NGFS v1.24.2[REMIND-MAgPIE 3.3-4.8],Nationally Determined Contributions (NDCs),Brazil,Inflation rate ; %(transition),Abs. difference,0.39,0.20,-0.06,-0.04,-0.01,-0.03,,,,,,,,,,
Inflation rate ; %(transition)Net Zero 2050NiGEM NGFS v1.24.2|Brazil,NiGEM NGFS v1.24.2[REMIND-MAgPIE 3.3-4.8],Net Zero 2050,Brazil,Inflation rate ; %(transition),Abs. difference,0.74,0.39,0.13,0.04,0.00,0.09,,,,,,,,,,
Long term interest rate ; %(combined(no bus))Delayed transitionNiGEM NGFS v1.24.2|Brazil,NiGEM NGFS v1.24.2[REMIND-MAgPIE 3.3-4.8],Delayed transition,Brazil,Long term interest rate ; %(combined(no bus)),Abs. difference,0.00,0.00,0.73,0.77,0.68,0.63,,,,,,,,,,
Long term interest rate ; %(combined(no bus))Fragmented WorldNiGEM NGFS v1.24.2|Brazil,NiGEM NGFS v1.24.2[REMIND-MAgPIE 3.3-4.8],Fragmented World,Brazil,Long term interest rate ; %(combined(no bus)),Abs. difference,0.00,0.00,0.10,0.15,0.19,0.21,,,,,,,,,,
Long term interest rate ; %(combined)Below 2°CNiGEM NGFS v1.24.2|Brazil,NiGEM NGFS v1.24.2[REMIND-MAgPIE 3.3-4.8],Below 2°C,Brazil,Long term interest rate ; %(combined),Abs. difference,0.08,0.21,0.28,0.31,0.33,0.35,,,,,,,,,,
Long term interest rate ; %(combined)Delayed transitionNiGEM NGFS v1.24.2|Brazil,NiGEM NGFS v1.24.2[REMIND-MAgPIE 3.3-4.8],Delayed transition,Brazil,Long term interest rate ; %(combined),Abs. difference,0.00,0.00,0.71,0.79,0.70,0.65,,,,,,,,,,
Long term interest rate ; %(combined)Fragmented WorldNiGEM NGFS v1.24.2|Brazil,NiGEM NGFS v1.24.2[REMIND-MAgPIE 3.3-4.8],Fragmented World,Brazil,Long term interest rate ; %(combined),Abs. difference,0.00,0.00,0.08,0.17,0.21,0.22,,,,,,,,,,
Long term interest rate ; %(combined)Nationally Determined Contributions (NDCs)NiGEM NGFS v1.24.2|Brazil,NiGEM NGFS v1.24.2[REMIND-MAgPIE 3.3-4.8],Nationally Determined Contributions (NDCs),Brazil,Long term interest rate ; %(combined),Abs. difference,0.74,0.62,0.41,0.30,0.24,0.21,,,,,,,,,,
Long term interest rate ; %(combined)Net Zero 2050NiGEM NGFS v1.24.2|Brazil,NiGEM NGFS v1.24.2[REMIND-MAgPIE 3.3-4.8],Net Zero 2050,Brazil,Long term interest rate ; %(combined),Abs. difference,1.55,1.63,1.28,0.88,0.70,0.68,,,,,,,,,,
Long term interest rate ; %(physical)Below 2°CNiGEM NGFS v1.24.2|Brazil,NiGEM NGFS v1.24.2[REMIND-MAgPIE 3.3-4.8],Below 2°C,Brazil,Long term interest rate ; %(physical),Abs. difference,0.00,0.00,0.00,0.00,0.00,0.00,,,,,,,,,,
Long term interest rate ; %(physical)Current PoliciesNiGEM NGFS v1.24.2|Brazil,NiGEM NGFS v1.24.2[REMIND-MAgPIE 3.3-4.8],Current Policies,Brazil,Long term interest rate ; %(physical),Abs. difference,0.00,0.00,0.00,0.00,0.00,0.00,,,,,,,,,,
Long term interest rate ; %(physical)Delayed transitionNiGEM NGFS v1.24.2|Brazil,NiGEM NGFS v1.24.2[REMIND-MAgPIE 3.3-4.8],Delayed transition,Brazil,Long term interest rate ; %(physical),Abs. difference,0.00,0.00,0.00,0.00,0.00,0.00,,,,,,,,,,
Long term interest rate ; %(physical)Fragmented WorldNiGEM NGFS v1.24.2|Brazil,NiGEM NGFS v1.24.2[REMIND-MAgPIE 3.3-4.8],Fragmented World,Brazil,Long term interest rate ; %(physical),Abs. difference,0.00,0.00,0.00,0.00,0.00,0.00,,,,,,,,,,
Long term interest rate ; %(physical)Nationally Determined Contributions (NDCs)NiGEM NGFS v1.24.2|Brazil,NiGEM NGFS v1.24.2[REMIND-MAgPIE 3.3-4.8],Nationally Determined Contributions (NDCs),Brazil,Long term interest rate ; %(physical),Abs. difference,0.00,0.00,0.00,0.00,0.00,0.00,,,,,,,,,,
Long term interest rate ; %(physical)Net Zero 2050NiGEM NGFS v1.24.2|Brazil,NiGEM NGFS v1.24.2[REMIND-MAgPIE 3.3-4.8],Net Zero 2050,Brazil,Long term interest rate ; %(physical),Abs. difference,0.00,0.00,0.00,0.00,0.00,0.00,,,,,,,,,,
Long term interest rate ; %(transition)Below 2°CNiGEM NGFS v1.24.2|Brazil,NiGEM NGFS v1.24.2[REMIND-MAgPIE 3.3-4.8],Below 2°C,Brazil,Long term interest rate ; %(transition),Abs. difference,0.08,0.21,0.28,0.31,0.33,0.35,,,,,,,,,,
Long term interest rate ; %(transition)Delayed transitionNiGEM NGFS v1.24.2|Brazil,NiGEM NGFS v1.24.2[REMIND-MAgPIE 3.3-4.8],Delayed transition,Brazil,Long term interest rate ; %(transition),Abs. difference,0.00,0.00,0.73,0.77,0.68,0.63,,,,,,,,,,
Long term interest rate ; %(transition)Fragmented WorldNiGEM NGFS v1.24.2|Brazil,NiGEM NGFS v1.24.2[REMIND-MAgPIE 3.3-4.8],Fragmented World,Brazil,Long term interest rate ; %(transition),Abs. difference,0.00,0.00,0.10,0.15,0.19,0.21,,,,,,,,,,
Long term interest rate ; %(transition)Nationally Determined Contributions (NDCs)NiGEM NGFS v1.24.2|Brazil,NiGEM NGFS v1.24.2[REMIND-MAgPIE 3.3-4.8],Nationally Determined Contributions (NDCs),Brazil,Long term interest rate ; %(transition),Abs. difference,0.74,0.62,0.41,0.30,0.24,0.21,,,,,,,,,,
Long term interest rate ; %(transition)Net Zero 2050NiGEM NGFS v1.24.2|Brazil,NiGEM NGFS v1.24.2[REMIND-MAgPIE 3.3-4.8],Net Zero 2050,Brazil,Long term interest rate ; %(transition),Abs. difference,1.55,1.63,1.28,0.88,0.70,0.68,,,,,,,,,,
Unemployment rate ; %(combined(no bus))Delayed transitionNiGEM NGFS v1.24.2|Brazil,NiGEM NGFS v1.24.2[REMIND-MAgPIE 3.3-4.8],Delayed transition,Brazil,Unemployment rate ; %(combined(no bus)),Abs. difference,0.19,0.17,0.15,0.08,0.09,-0.01,,,,,,,,,,
Unemployment rate ; %(combined(no bus))Fragmented WorldNiGEM NGFS v1.24.2|Brazil,NiGEM NGFS v1.24.2[REMIND-MAgPIE 3.3-4.8],Fragmented World,Brazil,Unemployment rate ; %(combined(no bus)),Abs. difference,0.19,0.18,0.21,0.13,0.14,0.07,,,,,,,,,,
Unemployment rate ; %(combined)Below 2°CNiGEM NGFS v1.24.2|Brazil,NiGEM NGFS v1.24.2[REMIND-MAgPIE 3.3-4.8],Below 2°C,Brazil,Unemployment rate ; %(combined),Abs. difference,0.19,0.16,0.18,0.07,0.08,-0.01,,,,,,,,,,
Unemployment rate ; %(combined)Delayed transitionNiGEM NGFS v1.24.2|Brazil,NiGEM NGFS v1.24.2[REMIND-MAgPIE 3.3-4.8],Delayed transition,Brazil,Unemployment rate ; %(combined),Abs. difference,0.19,0.17,0.12,0.08,0.09,-0.01,,,,,,,,,,
Unemployment rate ; %(combined)Fragmented WorldNiGEM NGFS v1.24.2|Brazil,NiGEM NGFS v1.24.2[REMIND-MAgPIE 3.3-4.8],Fragmented World,Brazil,Unemployment rate ; %(combined),Abs. difference,0.19,0.18,0.18,0.13,0.14,0.07,,,,,,,,,,
Unemployment rate ; %(combined)Nationally Determined Contributions (NDCs)NiGEM NGFS v1.24.2|Brazil,NiGEM NGFS v1.24.2[REMIND-MAgPIE 3.3-4.8],Nationally Determined Contributions (NDCs),Brazil,Unemployment rate ; %(combined),Abs. difference,0.22,0.17,0.19,0.10,0.10,0.05,,,,,,,,,,
Unemployment rate ; %(combined)Net Zero 2050NiGEM NGFS v1.24.2|Brazil,NiGEM NGFS v1.24.2[REMIND-MAgPIE 3.3-4.8],Net Zero 2050,Brazil,Unemployment rate ; %(combined),Abs. difference,0.15,0.15,0.17,0.03,0.04,0.01,,,,,,,,,,
Unemployment rate ; %(physical)Below 2°CNiGEM NGFS v1.24.2|Brazil,NiGEM NGFS v1.24.2[REMIND-MAgPIE 3.3-4.8],Below 2°C,Brazil,Unemployment rate ; %(physical),Abs. difference,0.18,0.16,0.17,0.05,0.06,-0.01,,,,,,,,,,
Unemployment rate ; %(physical)Current PoliciesNiGEM NGFS v1.24.2|Brazil,NiGEM NGFS v1.24.2[REMIND-MAgPIE 3.3-4.8],Current Policies,Brazil,Unemployment rate ; %(physical),Abs. difference,0.19,0.18,0.21,0.14,0.17,0.13,,,,,,,,,,
Unemployment rate ; %(physical)Delayed transitionNiGEM NGFS v1.24.2|Brazil,NiGEM NGFS v1.24.2[REMIND-MAgPIE 3.3-4.8],Delayed transition,Brazil,Unemployment rate ; %(physical),Abs. difference,0.19,0.17,0.19,0.07,0.07,-0.03,,,,,,,,,,
Unemployment rate ; %(physical)Fragmented WorldNiGEM NGFS v1.24.2|Brazil,NiGEM NGFS v1.24.2[REMIND-MAgPIE 3.3-4.8],Fragmented World,Brazil,Unemployment rate ; %(physical),Abs. difference,0.19,0.18,0.19,0.11,0.13,0.06,,,,,,,,,,
Unemployment rate ; %(physical)Nationally Determined Contributions (NDCs)NiGEM NGFS v1.24.2|Brazil,NiGEM NGFS v1.24.2[REMIND-MAgPIE 3.3-4.8],Nationally Determined Contributions (NDCs),Brazil,Unemployment rate ; %(physical),Abs. difference,0.18,0.16,0.17,0.09,0.10,0.05,,,,,,,,,,
Unemployment rate ; %(physical)Net Zero 2050NiGEM NGFS v1.24.2|Brazil,NiGEM NGFS v1.24.2[REMIND-MAgPIE 3.3-4.8],Net Zero 2050,Brazil,Unemployment rate ; %(physical),Abs. difference,0.18,0.15,0.12,-0.02,0.00,0.01,,,,,,,,,,
Unemployment rate ; %(transition)Below 2°CNiGEM NGFS v1.24.2|Brazil,NiGEM NGFS v1.24.2[REMIND-MAgPIE 3.3-4.8],Below 2°C,Brazil,Unemployment rate ; %(transition),Abs. difference,0.01,0.00,0.01,0.01,0.01,0.00,,,,,,,,,,
Unemployment rate ; %(transition)Delayed transitionNiGEM NGFS v1.24.2|Brazil,NiGEM NGFS v1.24.2[REMIND-MAgPIE 3.3-4.8],Delayed transition,Brazil,Unemployment rate ; %(transition),Abs. difference,0.00,0.00,-0.04,0.01,0.02,0.02,,,,,,,,,,
Unemployment rate ; %(transition)Fragmented WorldNiGEM NGFS v1.24.2|Brazil,NiGEM NGFS v1.24.2[REMIND-MAgPIE 3.3-4.8],Fragmented World,Brazil,Unemployment rate ; %(transition),Abs. difference,0.00,0.00,0.01,0.01,0.01,0.00,,,,,,,,,,
Unemployment rate ; %(transition)Nationally Determined Contributions (NDCs)NiGEM NGFS v1.24.2|Brazil,NiGEM NGFS v1.24.2[REMIND-MAgPIE 3.3-4.8],Nationally Determined Contributions (NDCs),Brazil,Unemployment rate ; %(transition),Abs. difference,0.03,0.00,0.02,0.01,0.00,0.00,,,,,,,,,,
Unemployment rate ; %(transition)Net Zero 2050NiGEM NGFS v1.24.2|Brazil,NiGEM NGFS v1.24.2[REMIND-MAgPIE 3.3-4.8],Net Zero 2050,Brazil,Unemployment rate ; %(transition),Abs. difference,-0.03,-0.01,0.04,0.05,0.03,0.00,,,,,,,,,,
Carbon pricing ; $ per Tn CO2(combined(no bus))Delayed transitionNiGEM NGFS v1.24.2|Canada,NiGEM NGFS v1.24.2[REMIND-MAgPIE 3.3-4.8],Delayed transition,Canada,Carbon pricing ; $ per Tn CO2(combined(no bus)),Abs. difference,0.00,0.00,"1,294.44","2,742.39","4,509.74","6,697.84",,,,,,,,,,
Carbon pricing ; $ per Tn CO2(combined(no bus))Fragmented WorldNiGEM NGFS v1.24.2|Canada,NiGEM NGFS v1.24.2[REMIND-MAgPIE 3.3-4.8],Fragmented World,Canada,Carbon pricing ; $ per Tn CO2(combined(no bus)),Abs. difference,0.00,0.00,295.28,680.06,"1,155.24","1,744.16",,,,,,,,,,
Carbon pricing ; $ per Tn CO2(combined)Below 2°CNiGEM NGFS v1.24.2|Canada,NiGEM NGFS v1.24.2[REMIND-MAgPIE 3.3-4.8],Below 2°C,Canada,Carbon pricing ; $ per Tn CO2(combined),Abs. difference,32.87,162.56,325.22,522.94,765.96,"1,065.26",,,,,,,,,,
Carbon pricing ; $ per Tn CO2(combined)Delayed transitionNiGEM NGFS v1.24.2|Canada,NiGEM NGFS v1.24.2[REMIND-MAgPIE 3.3-4.8],Delayed transition,Canada,Carbon pricing ; $ per Tn CO2(combined),Abs. difference,0.00,0.00,"1,294.44","2,742.39","4,509.74","6,697.84",,,,,,,,,,
Carbon pricing ; $ per Tn CO2(combined)Fragmented WorldNiGEM NGFS v1.24.2|Canada,NiGEM NGFS v1.24.2[REMIND-MAgPIE 3.3-4.8],Fragmented World,Canada,Carbon pricing ; $ per Tn CO2(combined),Abs. difference,0.00,0.00,295.28,680.06,"1,155.24","1,744.16",,,,,,,,,,
Carbon pricing ; $ per Tn CO2(combined)Nationally Determined Contributions (NDCs)NiGEM NGFS v1.24.2|Canada,NiGEM NGFS v1.24.2[REMIND-MAgPIE 3.3-4.8],Nationally Determined Contributions (NDCs),Canada,Carbon pricing ; $ per Tn CO2(combined),Abs. difference,948.09,"2,181.79","2,478.40","2,722.61","2,996.11","3,292.95",,,,,,,,,,
Carbon pricing ; $ per Tn CO2(combined)Net Zero 2050NiGEM NGFS v1.24.2|Canada,NiGEM NGFS v1.24.2[REMIND-MAgPIE 3.3-4.8],Net Zero 2050,Canada,Carbon pricing ; $ per Tn CO2(combined),Abs. difference,695.00,"1,597.56","2,672.98","3,979.73","5,585.73","6,678.19",,,,,,,,,,
Carbon pricing ; $ per Tn CO2(physical)Below 2°CNiGEM NGFS v1.24.2|Canada,NiGEM NGFS v1.24.2[REMIND-MAgPIE 3.3-4.8],Below 2°C,Canada,Carbon pricing ; $ per Tn CO2(physical),Abs. difference,0.00,0.00,0.00,0.00,0.00,0.00,,,,,,,,,,
Carbon pricing ; $ per Tn CO2(physical)Current PoliciesNiGEM NGFS v1.24.2|Canada,NiGEM NGFS v1.24.2[REMIND-MAgPIE 3.3-4.8],Current Policies,Canada,Carbon pricing ; $ per Tn CO2(physical),Abs. difference,0.00,0.00,0.00,0.00,0.00,0.00,,,,,,,,,,
Carbon pricing ; $ per Tn CO2(physical)Delayed transitionNiGEM NGFS v1.24.2|Canada,NiGEM NGFS v1.24.2[REMIND-MAgPIE 3.3-4.8],Delayed transition,Canada,Carbon pricing ; $ per Tn CO2(physical),Abs. difference,0.00,0.00,0.00,0.00,0.00,0.00,,,,,,,,,,
Carbon pricing ; $ per Tn CO2(physical)Fragmented WorldNiGEM NGFS v1.24.2|Canada,NiGEM NGFS v1.24.2[REMIND-MAgPIE 3.3-4.8],Fragmented World,Canada,Carbon pricing ; $ per Tn CO2(physical),Abs. difference,0.00,0.00,0.00,0.00,0.00,0.00,,,,,,,,,,
Carbon pricing ; $ per Tn CO2(physical)Nationally Determined Contributions (NDCs)NiGEM NGFS v1.24.2|Canada,NiGEM NGFS v1.24.2[REMIND-MAgPIE 3.3-4.8],Nationally Determined Contributions (NDCs),Canada,Carbon pricing ; $ per Tn CO2(physical),Abs. difference,0.00,0.00,0.00,0.00,0.00,0.00,,,,,,,,,,
Carbon pricing ; $ per Tn CO2(physical)Net Zero 2050NiGEM NGFS v1.24.2|Canada,NiGEM NGFS v1.24.2[REMIND-MAgPIE 3.3-4.8],Net Zero 2050,Canada,Carbon pricing ; $ per Tn CO2(physical),Abs. difference,0.00,0.00,0.00,0.00,0.00,0.00,,,,,,,,,,
Carbon pricing ; $ per Tn CO2(transition)Below 2°CNiGEM NGFS v1.24.2|Canada,NiGEM NGFS v1.24.2[REMIND-MAgPIE 3.3-4.8],Below 2°C,Canada,Carbon pricing ; $ per Tn CO2(transition),Abs. difference,32.87,162.56,325.22,522.94,765.96,"1,065.26",,,,,,,,,,
Carbon pricing ; $ per Tn CO2(transition)Delayed transitionNiGEM NGFS v1.24.2|Canada,NiGEM NGFS v1.24.2[REMIND-MAgPIE 3.3-4.8],Delayed transition,Canada,Carbon pricing ; $ per Tn CO2(transition),Abs. difference,0.00,0.00,"1,294.44","2,742.39","4,509.74","6,697.84",,,,,,,,,,
Carbon pricing ; $ per Tn CO2(transition)Fragmented WorldNiGEM NGFS v1.24.2|Canada,NiGEM NGFS v1.24.2[REMIND-MAgPIE 3.3-4.8],Fragmented World,Canada,Carbon pricing ; $ per Tn CO2(transition),Abs. difference,0.00,0.00,295.28,680.06,"1,155.24","1,744.16",,,,,,,,,,
Carbon pricing ; $ per Tn CO2(transition)Nationally Determined Contributions (NDCs)NiGEM NGFS v1.24.2|Canada,NiGEM NGFS v1.24.2[REMIND-MAgPIE 3.3-4.8],Nationally Determined Contributions (NDCs),Canada,Carbon pricing ; $ per Tn CO2(transition),Abs. difference,948.09,"2,181.79","2,478.40","2,722.61","2,996.11","3,292.95",,,,,,,,,,
Carbon pricing ; $ per Tn CO2(transition)Net Zero 2050NiGEM NGFS v1.24.2|Canada,NiGEM NGFS v1.24.2[REMIND-MAgPIE 3.3-4.8],Net Zero 2050,Canada,Carbon pricing ; $ per Tn CO2(transition),Abs. difference,695.00,"1,597.56","2,672.98","3,979.73","5,585.73","6,678.19",,,,,,,,,,
Central bank Intervention rate (policy interest rate) ; %(combined(no bus))Delayed transitionNiGEM NGFS v1.24.2|Canada,NiGEM NGFS v1.24.2[REMIND-MAgPIE 3.3-4.8],Delayed transition,Canada,Central bank Intervention rate (policy interest rate) ; %(combined(no bus)),Abs. difference,0.00,0.00,1.33,1.33,1.07,0.84,,,,,,,,,,
Central bank Intervention rate (policy interest rate) ; %(combined(no bus))Fragmented WorldNiGEM NGFS v1.24.2|Canada,NiGEM NGFS v1.24.2[REMIND-MAgPIE 3.3-4.8],Fragmented World,Canada,Central bank Intervention rate (policy interest rate) ; %(combined(no bus)),Abs. difference,0.00,0.00,0.14,0.15,0.18,0.28,,,,,,,,,,
Central bank Intervention rate (policy interest rate) ; %(combined)Below 2°CNiGEM NGFS v1.24.2|Canada,NiGEM NGFS v1.24.2[REMIND-MAgPIE 3.3-4.8],Below 2°C,Canada,Central bank Intervention rate (policy interest rate) ; %(combined),Abs. difference,0.06,0.25,0.27,0.38,0.35,0.41,,,,,,,,,,
Central bank Intervention rate (policy interest rate) ; %(combined)Delayed transitionNiGEM NGFS v1.24.2|Canada,NiGEM NGFS v1.24.2[REMIND-MAgPIE 3.3-4.8],Delayed transition,Canada,Central bank Intervention rate (policy interest rate) ; %(combined),Abs. difference,0.00,0.00,1.31,1.36,1.08,0.83,,,,,,,,,,
Central bank Intervention rate (policy interest rate) ; %(combined)Fragmented WorldNiGEM NGFS v1.24.2|Canada,NiGEM NGFS v1.24.2[REMIND-MAgPIE 3.3-4.8],Fragmented World,Canada,Central bank Intervention rate (policy interest rate) ; %(combined),Abs. difference,0.00,0.00,0.12,0.18,0.20,0.27,,,,,,,,,,
Central bank Intervention rate (policy interest rate) ; %(combined)Nationally Determined Contributions (NDCs)NiGEM NGFS v1.24.2|Canada,NiGEM NGFS v1.24.2[REMIND-MAgPIE 3.3-4.8],Nationally Determined Contributions (NDCs),Canada,Central bank Intervention rate (policy interest rate) ; %(combined),Abs. difference,0.81,1.62,1.04,0.63,0.33,0.23,,,,,,,,,,
Central bank Intervention rate (policy interest rate) ; %(combined)Net Zero 2050NiGEM NGFS v1.24.2|Canada,NiGEM NGFS v1.24.2[REMIND-MAgPIE 3.3-4.8],Net Zero 2050,Canada,Central bank Intervention rate (policy interest rate) ; %(combined),Abs. difference,1.64,1.75,1.92,1.20,0.70,0.61,,,,,,,,,,
Central bank Intervention rate (policy interest rate) ; %(physical)Below 2°CNiGEM NGFS v1.24.2|Canada,NiGEM NGFS v1.24.2[REMIND-MAgPIE 3.3-4.8],Below 2°C,Canada,Central bank Intervention rate (policy interest rate) ; %(physical),Abs. difference,0.00,0.00,0.00,0.00,0.00,0.00,,,,,,,,,,
Central bank Intervention rate (policy interest rate) ; %(physical)Current PoliciesNiGEM NGFS v1.24.2|Canada,NiGEM NGFS v1.24.2[REMIND-MAgPIE 3.3-4.8],Current Policies,Canada,Central bank Intervention rate (policy interest rate) ; %(physical),Abs. difference,0.00,0.00,0.00,0.00,0.00,0.00,,,,,,,,,,
Central bank Intervention rate (policy interest rate) ; %(physical)Delayed transitionNiGEM NGFS v1.24.2|Canada,NiGEM NGFS v1.24.2[REMIND-MAgPIE 3.3-4.8],Delayed transition,Canada,Central bank Intervention rate (policy interest rate) ; %(physical),Abs. difference,0.00,0.00,0.00,0.00,0.00,0.00,,,,,,,,,,
Central bank Intervention rate (policy interest rate) ; %(physical)Fragmented WorldNiGEM NGFS v1.24.2|Canada,NiGEM NGFS v1.24.2[REMIND-MAgPIE 3.3-4.8],Fragmented World,Canada,Central bank Intervention rate (policy interest rate) ; %(physical),Abs. difference,0.00,0.00,0.00,0.00,0.00,0.00,,,,,,,,,,
Central bank Intervention rate (policy interest rate) ; %(physical)Nationally Determined Contributions (NDCs)NiGEM NGFS v1.24.2|Canada,NiGEM NGFS v1.24.2[REMIND-MAgPIE 3.3-4.8],Nationally Determined Contributions (NDCs),Canada,Central bank Intervention rate (policy interest rate) ; %(physical),Abs. difference,0.00,0.00,0.00,0.00,0.00,0.00,,,,,,,,,,
Central bank Intervention rate (policy interest rate) ; %(physical)Net Zero 2050NiGEM NGFS v1.24.2|Canada,NiGEM NGFS v1.24.2[REMIND-MAgPIE 3.3-4.8],Net Zero 2050,Canada,Central bank Intervention rate (policy interest rate) ; %(physical),Abs. difference,0.00,0.00,0.00,0.00,0.00,0.00,,,,,,,,,,
Central bank Intervention rate (policy interest rate) ; %(transition)Below 2°CNiGEM NGFS v1.24.2|Canada,NiGEM NGFS v1.24.2[REMIND-MAgPIE 3.3-4.8],Below 2°C,Canada,Central bank Intervention rate (policy interest rate) ; %(transition),Abs. difference,0.06,0.25,0.27,0.38,0.35,0.41,,,,,,,,,,
Central bank Intervention rate (policy interest rate) ; %(transition)Delayed transitionNiGEM NGFS v1.24.2|Canada,NiGEM NGFS v1.24.2[REMIND-MAgPIE 3.3-4.8],Delayed transition,Canada,Central bank Intervention rate (policy interest rate) ; %(transition),Abs. difference,0.00,0.00,1.33,1.33,1.07,0.84,,,,,,,,,,
Central bank Intervention rate (policy interest rate) ; %(transition)Fragmented WorldNiGEM NGFS v1.24.2|Canada,NiGEM NGFS v1.24.2[REMIND-MAgPIE 3.3-4.8],Fragmented World,Canada,Central bank Intervention rate (policy interest rate) ; %(transition),Abs. difference,0.00,0.00,0.14,0.15,0.18,0.28,,,,,,,,,,
Central bank Intervention rate (policy interest rate) ; %(transition)Nationally Determined Contributions (NDCs)NiGEM NGFS v1.24.2|Canada,NiGEM NGFS v1.24.2[REMIND-MAgPIE 3.3-4.8],Nationally Determined Contributions (NDCs),Canada,Central bank Intervention rate (policy interest rate) ; %(transition),Abs. difference,0.81,1.62,1.04,0.63,0.33,0.23,,,,,,,,,,
Central bank Intervention rate (policy interest rate) ; %(transition)Net Zero 2050NiGEM NGFS v1.24.2|Canada,NiGEM NGFS v1.24.2[REMIND-MAgPIE 3.3-4.8],Net Zero 2050,Canada,Central bank Intervention rate (policy interest rate) ; %(transition),Abs. difference,1.64,1.75,1.92,1.20,0.70,0.61,,,,,,,,,,
Gross Domestic Product (GDP)(combined(no bus))Delayed transitionNiGEM NGFS v1.24.2|Canada,NiGEM NGFS v1.24.2[REMIND-MAgPIE 3.3-4.8],Delayed transition,Canada,Gross Domestic Product (GDP)(combined(no bus)),"% difference,  2017 PPP ; US$ Bn",0.79,1.50,0.03,-0.61,-1.25,-1.41,,,,,,,,,,
Gross Domestic Product (GDP)(combined(no bus))Delayed transitionNiGEM NGFS v1.24.2|Canada,NiGEM NGFS v1.24.2[REMIND-MAgPIE 3.3-4.8],Delayed transition,Canada,Gross Domestic Product (GDP)(combined(no bus)),"% difference,  2017 prices; CN$ Mn",0.79,1.50,0.03,-0.61,-1.25,-1.41,,,,,,,,,,
Gross Domestic Product (GDP)(combined(no bus))Fragmented WorldNiGEM NGFS v1.24.2|Canada,NiGEM NGFS v1.24.2[REMIND-MAgPIE 3.3-4.8],Fragmented World,Canada,Gross Domestic Product (GDP)(combined(no bus)),"% difference,  2017 PPP ; US$ Bn",0.80,1.50,1.60,1.58,1.28,1.39,,,,,,,,,,
