Indicator,Model,Scenario,Region,Variable,Unit,2025,2030,2035,2040,2045,2050,2055,2060,2065,2070,2075,2080,2085,2090,2095,2100
Gross Domestic Product (GDP)(physical)Fragmented WorldNiGEM NGFS v1.24.2|Brazil,NiGEM NGFS v1.24.2[REMIND-MAgPIE 3.3-4.8],Fragmented World,Brazil,Gross Domestic Product (GDP)(physical),"% difference,  1995 prices; Real Bn",-4.55,-7.77,-11.27,-14.04,-15.76,-17.77,,,,,,,,,,
Gross Domestic Product (GDP)(physical)Fragmented WorldNiGEM NGFS v1.24.2|Brazil,NiGEM NGFS v1.24.2[REMIND-MAgPIE 3.3-4.8],Fragmented World,Brazil,Gross Domestic Product (GDP)(physical),"% difference,  2017 PPP ; US$ Bn",-4.55,-7.77,-11.27,-14.04,-15.76,-17.77,,,,,,,,,,
Gross Domestic Product (GDP)(physical)Nationally Determined Contributions (NDCs)NiGEM NGFS v1.24.2|Brazil,NiGEM NGFS v1.24.2[REMIND-MAgPIE 3.3-4.8],Nationally Determined Contributions (NDCs),Brazil,Gross Domestic Product (GDP)(physical),"% difference,  1995 prices; Real Bn",-4.44,-7.65,-10.77,-13.10,-14.51,-16.29,,,,,,,,,,
Gross Domestic Product (GDP)(physical)Nationally Determined Contributions (NDCs)NiGEM NGFS v1.24.2|Brazil,NiGEM NGFS v1.24.2[REMIND-MAgPIE 3.3-4.8],Nationally Determined Contributions (NDCs),Brazil,Gross Domestic Product (GDP)(physical),"% difference,  2017 PPP ; US$ Bn",-4.44,-7.65,-10.77,-13.10,-14.51,-16.29,,,,,,,,,,
Gross Domestic Product (GDP)(physical)Net Zero 2050NiGEM NGFS v1.24.2|Brazil,NiGEM NGFS v1.24.2[REMIND-MAgPIE 3.3-4.8],Net Zero 2050,Brazil,Gross Domestic Product (GDP)(physical),"% difference,  1995 prices; Real Bn",-4.36,-7.47,-9.82,-10.40,-10.01,-10.12,,,,,,,,,,
Gross Domestic Product (GDP)(physical)Net Zero 2050NiGEM NGFS v1.24.2|Brazil,NiGEM NGFS v1.24.2[REMIND-MAgPIE 3.3-4.8],Net Zero 2050,Brazil,Gross Domestic Product (GDP)(physical),"% difference,  2017 PPP ; US$ Bn",-4.36,-7.47,-9.82,-10.40,-10.01,-10.12,,,,,,,,,,
Gross Domestic Product (GDP)(transition)Below 2°CNiGEM NGFS v1.24.2|Brazil,NiGEM NGFS v1.24.2[REMIND-MAgPIE 3.3-4.8],Below 2°C,Brazil,Gross Domestic Product (GDP)(transition),"% difference,  1995 prices; Real Bn",-0.11,-0.27,-0.53,-0.90,-1.28,-1.54,,,,,,,,,,
Gross Domestic Product (GDP)(transition)Below 2°CNiGEM NGFS v1.24.2|Brazil,NiGEM NGFS v1.24.2[REMIND-MAgPIE 3.3-4.8],Below 2°C,Brazil,Gross Domestic Product (GDP)(transition),"% difference,  2017 PPP ; US$ Bn",-0.11,-0.27,-0.53,-0.90,-1.28,-1.54,,,,,,,,,,
Gross Domestic Product (GDP)(transition)Delayed transitionNiGEM NGFS v1.24.2|Brazil,NiGEM NGFS v1.24.2[REMIND-MAgPIE 3.3-4.8],Delayed transition,Brazil,Gross Domestic Product (GDP)(transition),"% difference,  1995 prices; Real Bn",0.00,0.00,-1.09,-1.36,-1.74,-2.24,,,,,,,,,,
Gross Domestic Product (GDP)(transition)Delayed transitionNiGEM NGFS v1.24.2|Brazil,NiGEM NGFS v1.24.2[REMIND-MAgPIE 3.3-4.8],Delayed transition,Brazil,Gross Domestic Product (GDP)(transition),"% difference,  2017 PPP ; US$ Bn",0.00,0.00,-1.09,-1.36,-1.74,-2.24,,,,,,,,,,
Gross Domestic Product (GDP)(transition)Fragmented WorldNiGEM NGFS v1.24.2|Brazil,NiGEM NGFS v1.24.2[REMIND-MAgPIE 3.3-4.8],Fragmented World,Brazil,Gross Domestic Product (GDP)(transition),"% difference,  1995 prices; Real Bn",0.00,0.00,-0.46,-0.82,-1.16,-1.38,,,,,,,,,,
Gross Domestic Product (GDP)(transition)Fragmented WorldNiGEM NGFS v1.24.2|Brazil,NiGEM NGFS v1.24.2[REMIND-MAgPIE 3.3-4.8],Fragmented World,Brazil,Gross Domestic Product (GDP)(transition),"% difference,  2017 PPP ; US$ Bn",0.00,0.00,-0.46,-0.82,-1.16,-1.38,,,,,,,,,,
Gross Domestic Product (GDP)(transition)Nationally Determined Contributions (NDCs)NiGEM NGFS v1.24.2|Brazil,NiGEM NGFS v1.24.2[REMIND-MAgPIE 3.3-4.8],Nationally Determined Contributions (NDCs),Brazil,Gross Domestic Product (GDP)(transition),"% difference,  1995 prices; Real Bn",-0.96,-1.22,-1.45,-1.67,-1.76,-1.80,,,,,,,,,,
Gross Domestic Product (GDP)(transition)Nationally Determined Contributions (NDCs)NiGEM NGFS v1.24.2|Brazil,NiGEM NGFS v1.24.2[REMIND-MAgPIE 3.3-4.8],Nationally Determined Contributions (NDCs),Brazil,Gross Domestic Product (GDP)(transition),"% difference,  2017 PPP ; US$ Bn",-0.96,-1.22,-1.45,-1.67,-1.76,-1.80,,,,,,,,,,
Gross Domestic Product (GDP)(transition)Net Zero 2050NiGEM NGFS v1.24.2|Brazil,NiGEM NGFS v1.24.2[REMIND-MAgPIE 3.3-4.8],Net Zero 2050,Brazil,Gross Domestic Product (GDP)(transition),"% difference,  1995 prices; Real Bn",-0.22,-0.50,-1.21,-2.19,-2.97,-3.36,,,,,,,,,,
Gross Domestic Product (GDP)(transition)Net Zero 2050NiGEM NGFS v1.24.2|Brazil,NiGEM NGFS v1.24.2[REMIND-MAgPIE 3.3-4.8],Net Zero 2050,Brazil,Gross Domestic Product (GDP)(transition),"% difference,  2017 PPP ; US$ Bn",-0.22,-0.50,-1.21,-2.19,-2.97,-3.36,,,,,,,,,,
Inflation rate ; %(combined(no bus))Delayed transitionNiGEM NGFS v1.24.2|Brazil,NiGEM NGFS v1.24.2[REMIND-MAgPIE 3.3-4.8],Delayed transition,Brazil,Inflation rate ; %(combined(no bus)),Abs. difference,0.11,0.12,0.75,0.35,0.13,0.06,,,,,,,,,,
Inflation rate ; %(combined(no bus))Fragmented WorldNiGEM NGFS v1.24.2|Brazil,NiGEM NGFS v1.24.2[REMIND-MAgPIE 3.3-4.8],Fragmented World,Brazil,Inflation rate ; %(combined(no bus)),Abs. difference,0.11,0.11,0.25,0.29,0.19,0.24,,,,,,,,,,
Inflation rate ; %(combined)Below 2°CNiGEM NGFS v1.24.2|Brazil,NiGEM NGFS v1.24.2[REMIND-MAgPIE 3.3-4.8],Below 2°C,Brazil,Inflation rate ; %(combined),Abs. difference,0.13,0.21,0.27,0.23,0.13,0.14,,,,,,,,,,
Inflation rate ; %(combined)Delayed transitionNiGEM NGFS v1.24.2|Brazil,NiGEM NGFS v1.24.2[REMIND-MAgPIE 3.3-4.8],Delayed transition,Brazil,Inflation rate ; %(combined),Abs. difference,0.11,0.12,0.78,0.41,0.14,0.05,,,,,,,,,,
Inflation rate ; %(combined)Fragmented WorldNiGEM NGFS v1.24.2|Brazil,NiGEM NGFS v1.24.2[REMIND-MAgPIE 3.3-4.8],Fragmented World,Brazil,Inflation rate ; %(combined),Abs. difference,0.11,0.11,0.29,0.35,0.19,0.23,,,,,,,,,,
Inflation rate ; %(combined)Nationally Determined Contributions (NDCs)NiGEM NGFS v1.24.2|Brazil,NiGEM NGFS v1.24.2[REMIND-MAgPIE 3.3-4.8],Nationally Determined Contributions (NDCs),Brazil,Inflation rate ; %(combined),Abs. difference,0.49,0.31,0.09,0.11,0.07,0.11,,,,,,,,,,
